Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
19 RICHARD AVE,186-62,186,62,4050,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400680987000001, -71.133508000199896)"
2579 MASSACHUSETTS AVE,186-27,186,27,3915,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4006511414999, -71.134714319099899)"
62 CLARENDON AVE,184-15,184,15,10240,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400556322699899, -71.130906062799895)"
25 COLUMBUS AVE,188-113,188,113,119619,920,Public Open Space,Parklands, ,0, , , ,State NonTax,"(42.3997480333, -71.138247460399896)"
26 RICHARD AVE,186-67,186,67,4331,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400628612699897, -71.133011505100001)"
2575 MASSACHUSETTS AVE,186-26,186,26,3915,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400590721699899, -71.134569983800006)"
17 RICHARD AVE,186-63,186,63,4050,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400572863299899, -71.133590941799895)"
12 NEWMAN ST,186-16,186,16,4447,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400561632600002, -71.133980717699899)"
2571 MASSACHUSETTS AVE,186-25,186,25,3915,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400530193500003, -71.134423926799897)"
18 RICHARD AVE,186-70,186,70,4732,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.4004957119, -71.133093633300007)"
65 WASHBURN AVE,184-47,184,47,4240,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400432358099899, -71.1305742159999)"
2594 MASSACHUSETTS AVE,188-112,188,112,4273,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400476343800001, -71.135612616200007)"
11 RICHARD AVE,186-64,186,64,4050,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400464015300003, -71.133674076600002)"
2561 MASSACHUSETTS AVE,186-15,186,15,3915,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.400426578100003, -71.134181037700003)"
2592 MASSACHUSETTS AVE,188-69,188,69,8710,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.400317909899897, -71.135454959800001)"
63 WASHBURN AVE,184-46,184,46,3962,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400350539100003, -71.130662873099894)"
2557 MASSACHUSETTS AVE,186-14,186,14,3866,340,Office,GEN-OFFICE, ,0, , , , ,"(42.400366078600001, -71.134037568699895)"
14 RICHARD AVE,186-71,186,71,4591,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400371976000002, -71.133167631500001)"
52 CLARENDON AVE,184-16,184,16,2910,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400376332599897, -71.131134401500006)"
7 RICHARD AVE,186-65,186,65,3934,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.4003556997, -71.1337582795)"
8 COLUMBUS AVE,188-134,188,134,4061,105,Residential,THREE-FM-RES, ,3, , , ,Authority NonTax,"(42.400357816000003, -71.135762384900005)"
61 WASHBURN AVE,184-45,184,45,4431,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400277136600003, -71.130754274400005)"
48 CLARENDON AVE,184-17,184,17,2720,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400300957799899, -71.131234103799898)"
2578 MASSACHUSETTS AVE,189-88,189,88,7055,332,Commercial,AUTO-REPAIR, ,0, , , , ,"(42.400170867500002, -71.135067907700005)"
12 RICHARD AVE,186-73,186,73,4098,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400263789599897, -71.133242506100004)"
3 MADISON AVE,188-133,188,133,5123,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400259187899898, -71.135892194899895)"
2551 MASSACHUSETTS AVE,186-84,186,84,4950,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.400234687500003, -71.133851924599895)"
55 WASHBURN AVE,184-44,184,44,8724,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400188855800003, -71.130912688899897)"
44 CLARENDON AVE,184-18,184,18,2700,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400230767700002, -71.131329797099895)"
2574 MASSACHUSETTS AVE,189-90,189,90,5836,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.4001180725, -71.134873197399898)"
6 RICHARD AVE,186-74,186,74,4249,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4001698784, -71.133312079600003)"
22 CHURCHILL AVE,184-12,184,12,6970,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4001211779999, -71.132586668499897)"
12 MADISON AVE,188-39,188,39,6124,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400111143799897, -71.136344159499899)"
40 CLARENDON AVE,184-19,184,19,2681,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4001558711999, -71.131426569699897)"
2568 MASSACHUSETTS AVE,189-3,189,3,2378,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400107769599899, -71.134713642400001)"
2535 MASSACHUSETTS AVE,186-85,186,85,5498,334,Commercial,GAS-STATION, ,0, , , , ,"(42.4000605564, -71.133433118400006)"
36 CLARENDON AVE,184-20,184,20,2621,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400081865200001, -71.131523619800006)"
11 MAGOUN ST,188-70,188,70,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400131561000002, -71.135485105000001)"
7 MADISON AVE,188-66,188,66,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400127142800002, -71.135854333300003)"
16 CHURCHILL AVE,184-11,184,11,4781,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400016612599899, -71.132737911999897)"
2564 MASSACHUSETTS AVE,189-4,189,4,4446,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.399992231200002, -71.134637729800005)"
9 CLARENDON AVE,184-7,184,7,13131,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.399886469000002, -71.132387924499895)"
2525 MASSACHUSETTS AVE,184-9,184,9,14896,112,Mixed Use Residential,MXD >8-UNIT-APT,groundfloor,22, , , , ,"(42.399869383800002, -71.1329407696999)"
2560 MASSACHUSETTS AVE,189-5,189,5,4491,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399938922099899, -71.134510033200002)"
17 MAGOUN ST,188-71,188,71,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400023003000001, -71.1354829749)"
50 WASHBURN AVE,184-89,184,89,4133,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399919501699898, -71.130553535800004)"
11 MADISON AVE,188-65,188,65,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.4000199456, -71.135852721999896)"
20 COLUMBUS AVE,188-139,188,139,3197,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399923815800001, -71.136650266100006)"
2556 MASSACHUSETTS AVE,189-6,189,6,4302,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399888911600002, -71.1343768256)"
28 CLARENDON AVE,184-22,184,22,2414,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399934640300003, -71.131719285000003)"
8-10 MADISON AVE,188-41,188,41,8800,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399912076699898, -71.136386015200003)"
24-26 COLUMBUS AVE,188-138,188,138,3617,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3998773163, -71.136836679200002)"
2552 MASSACHUSETTS AVE,189-7,189,7,4475,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399840552400001, -71.134236522199899)"
1 WASHBURN TER,184-88,184,88,5939,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.399833222200002, -71.130335511400006)"
26 CLARENDON AVE,184-23,184,23,2397,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399865383200002, -71.131810577400003)"
20 MAGOUN ST,189-29,189,29,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399912135500003, -71.134958356400006)"
21 MAGOUN ST,188-72,188,72,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399912723600004, -71.135482578500003)"
17 MADISON AVE,188-64,188,64,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399910003899898, -71.135851510999899)"
39 WASHBURN AVE,184-39,184,39,2624,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399807582900003, -71.131102340200002)"
22 CLARENDON AVE,184-24,184,24,2380,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3997959139, -71.131900316200003)"
71 GOLD STAR RD,184-57,184,57,1673,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399764337599898, -71.130052742700002)"
24 MAGOUN ST,189-28,189,28,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399805649400001, -71.134959925900006)"
25 MAGOUN ST,188-73,188,73,4000,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399800910800003, -71.135480465300006)"
21 MADISON AVE,188-63,188,63,4000,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399798155100001, -71.135849902100006)"
11 BROOKFORD ST,189-8,189,8,6450,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399718210000003, -71.134552682199896)"
35 WASHBURN AVE,184-38,184,38,2759,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399727315900002, -71.131200500299897)"
18 CLARENDON AVE,184-25,184,25,2363,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399726627200003, -71.131991175400003)"
44 WASHBURN AVE,184-86,184,86,1624,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3997408902, -71.130712687300004)"
2538 MASSACHUSETTS AVE,189-31,189,31,3900,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3996708650999, -71.133854573299899)"
22 MADISON AVE,188-42,188,42,4400,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3997490373999, -71.136384192199898)"
5 HARRISON AVE,188-36,188,36,4400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399749576799898, -71.136793498100005)"
2515 MASSACHUSETTS AVE,184-146,184,146,2785,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.399678690400002, -71.132720253700001)"
43 SEVEN PINES AVE,184-161,184,161,3120,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399654863400002, -71.129749692800004)"
30 COLUMBUS AVE,188-128,188,128,3988,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3996192177, -71.137211029900001)"
69 GOLD STAR RD,184-58,184,58,1546,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399684753499898, -71.130136929700001)"
40 WASHBURN AVE,184-85,184,85,1615,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399682233900002, -71.1307774247)"
2534 MASSACHUSETTS AVE,189-32,189,32,3669,105,Mixed Use Residential,MXD THREE-FM-RE,groundfloor,3, , , , ,"(42.3996199816999, -71.133731828199899)"
14 CLARENDON AVE,184-26,184,26,2346,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399656808700001, -71.132083372599894)"
31 WASHBURN AVE,184-37,184,37,2894,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.399648129600003, -71.131297013799895)"
3 GOLD STAR ROAD CT,184-169,184,169,2412,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399649150099897, -71.130595695899899)"
30 MAGOUN ST,189-27,189,27,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399697026699897, -71.134955575299898)"
29 MAGOUN ST,188-74,188,74,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3996899411, -71.135479724000007)"
2511 MASSACHUSETTS AVE,184-147,184,147,2815,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.3996214951, -71.132604651999898)"
38 WASHBURN AVE,184-84,184,84,2549,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399614221999897, -71.130851355700003)"
34 COLUMBUS AVE,188-127,188,127,3730,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399576784799898, -71.137380878100004)"
2532 MASSACHUSETTS AVE,189-33,189,33,4391,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.399541668200001, -71.133638736699893)"
61 GOLD STAR RD,184-59,184,59,2013,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.39962354, -71.130266762800005)"
39 SEVEN PINES AVE,184-162,184,162,3366,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3995755141, -71.129620696999893)"
10 CLARENDON AVE,184-27,184,27,2293,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.399588639599898, -71.132173796399897)"
24 MADISON AVE,188-43,188,43,4400,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399640127700003, -71.136382349000002)"
9 HARRISON AVE,188-35,188,35,4400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399641125400002, -71.136792397199898)"
21-23 WASHBURN AVE,184-35,184,35,6052,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399526224699898, -71.131446256700002)"
15 BROOKFORD ST,189-9,189,9,6283,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399578376000001, -71.134565264700001)"
55 GOLD STAR RD,184-61,184,61,4227,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399519712699899, -71.130372525699897)"
2528 MASSACHUSETTS AVE,189-34,189,34,6098,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.399445631699898, -71.133567388299895)"
34 WASHBURN AVE,184-83,184,83,2697,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399531215499898, -71.130931913699897)"
32 MAGOUN ST,189-26,189,26,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3995850226, -71.134953348300002)"
16 BROOKFORD ST,189-52,189,52,7501,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.399474642800001, -71.134016975600005)"
33 MAGOUN ST,188-75,188,75,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399579834100003, -71.135478099500006)"
35 SEVEN PINES AVE,184-163,184,163,3366,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399496798400001, -71.129492225700005)"
27 MADISON AVE,188-61,188,61,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399577401099897, -71.1358477867999)"
3 SEAGRAVE RD,187-36,187,36,3735,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399502118000001, -71.138333131799897)"
6 SEAGRAVE RD,187-35,187,35,3725,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399500019000001, -71.138484259099897)"
2 SEAGRAVE RD,187-49,187,49,3687,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399498277299898, -71.138178561000004)"
7 SEAGRAVE RD,187-34,187,34,3719,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3994946838, -71.138637879100003)"
36 COLUMBUS AVE,188-126,188,126,4253,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3994436077, -71.137571542900005)"
9 SEAGRAVE RD,187-33,187,33,3709,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3994830574999, -71.138793314799898)"
2524 MASSACHUSETTS AVE,189-35,189,35,4836,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399410019000001, -71.133422606099899)"
11 SEAGRAVE RD,187-32,187,32,3870,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3994649897, -71.138950519700003)"
13 HARRISON AVE,188-34,188,34,4400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399531368200002, -71.136792160599896)"
32 MADISON AVE,188-44,188,44,4400,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399529489400003, -71.136381255100005)"
32 WASHBURN AVE,184-82,184,82,2845,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399449559700003, -71.131013893399896)"
2 GOLD STAR ROAD CT,184-63,184,63,2376,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3994439919, -71.130777082799895)"
13 SEAGRAVE RD,187-31,187,31,3870,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.399437118599899, -71.139106173299893)"
58 GOLD STAR RD,184-100,184,100,2275,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3994506571999, -71.129970968899897)"
36 MAGOUN ST,189-25,189,25,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399473757700001, -71.134954456800003)"
37 MAGOUN ST,188-76,188,76,4000,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3994707519999, -71.135476877200006)"
15-16 SEAGRAVE RD,187-30,187,30,3870,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3994008093999, -71.139257846899895)"
42 COLUMBUS AVE,188-125,188,125,4209,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399388748699899, -71.137780379299898)"
33 MADISON AVE,188-60,188,60,4000,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3994690168999, -71.135847247000001)"
2520 MASSACHUSETTS AVE,189-36,189,36,3592,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.3993785219999, -71.133276770799895)"
19 BROOKFORD ST,189-10,189,10,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3994469322, -71.134552376299894)"
47 GOLD STAR RD,184-64,184,64,2975,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399383084, -71.130558144800005)"
28 WASHBURN AVE,184-81,184,81,2993,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399366023200002, -71.131094840100005)"
