ID,PrimaryStreet,LocationDescription,Location,Source,1972,1981,1987,1989,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,AMPeak1972,AMPeak1981,AMPeak1987,AMPeak1989,AMPeak1994,AMPeak1995,AMPeak1996,AMPeak1997,AMPeak1998,AMPeak1999,AMPeak2000,AMPeak2001,AMPeak2002,AMPeak2003,AMPeak2004,AMPeak2005,AMPeak2006,AMPeak2007,AMPeak2008,AMPeak2009,AMPeak2010,AMPeak2011,AMPeak2012,AMPeak2013,AMPeak2014,PMPeak1972,PMPeak1981,PMPeak1987,PMPeak1989,PMPeak1994,PMPeak1995,PMPeak1996,PMPeak1997,PMPeak1998,PMPeak1999,PMPeak2000,PMPeak2001,PMPeak2002,PMPeak2003,PMPeak2004,PMPeak2005,PMPeak2006,PMPeak2007,PMPeak2008,PMPeak2009,PMPeak2010,PMPeak2011,PMPeak2012,PMPeak2013,PMPeak2014
72,Alewife Brook Parkway,North of Route 2,"(42.398671808800003, -71.141144088900006)","150/180 Cambridgepark Drive R&D Project, TIS, August 4, 2008.",,,,,,,,,,0,,,,,,,0,,36337,,,0,,,,,,,,,,,,,0,,,,,,,,,2363,,,0,,,,,,,,,,,,,0,,,,,,,,,2509,,,0,,,
74,Cambridgepark Drive,West of Alewife Access Road,"(42.394638260000001, -71.142697557899893)","150/180 Cambridgepark Drive R&D Project, TIS, August 4, 2008.  The Residences at 160 Cambridgepark Dr, TIS, Feb, 2012 (counts in Dec. 2011).165 Cambridgepark Drive TIS, June 2012 (count in May 2012).",,,,,,,,,,0,,,,,,,0,,4475,,,3634,4034,,,,,,,,,,,,0,,,,,,,,,564,,,292,438,,,,,,,,,,,,0,,,,,,,,,497,,,322,364,,
75,Alewife Station Access Road,South of Route 2,"(42.398981206999899, -71.146736191000002)","150/180 Cambridgepark Drive R&D Project, TIS, August 4, 2008; 165 Cambridgepark Drive TIS, June 2012 (counts in May 2012).",,,,,,,,,,0,,,,,,,0,,8944,,,0,10244,,,,,,,,,,,,0,,,,,,,,,1362,,,0,1458,,,,,,,,,,,,0,,,,,,,,,756,,,0,990,,
76,Alewife Station Access Road,East of Alewife Brook Parkway,"(42.3969517938, -71.140862091700001)","150/180 Cambridgepark Drive R&D Project, TIS, August 4, 2008.",,,,,,,,,,0,,,,,,,0,,5454,,,0,,,,,,,,,,,,,0,,,,,,,,,259,,,0,,,,,,,,,,,,,0,,,,,,,,,630,,,0,,,
77,Route 2,West of Alewife Brook Parkway,"(42.397984700899897, -71.143098940000002)","150/180 Cambridgepark Drive R&D Project, TIS, August 4, 2008.",,,,,,,,,,0,,,,,,,0,,58315,,,0,,,,,,,,,,,,,0,,,,,,,,,4018,,,0,,,,,,,,,,,,,0,,,,,,,,,4486,,,0,,,
79,Broadway,West of Hampshire Street,"(42.365333841800002, -71.090908444299899)","Draper Laboratory, TIS, Aug. 2, 2002.",,,,,,,,,,0,,,20500,,,,0,,0,,,0,,,,,,,,,,,,,0,,,1558,,,,,,0,,,0,,,,,,,,,,,,,0,,,1620,,,,,,0,,,0,,,
83,Concord Avenue,West of Smith Place,"(42.390154258400003, -71.151046790300001)","70 Fawcett Street Residential Redevelopment, TIS, June 15, 2007. (ATRs in Dec. 2006).",,,,,,,,,,0,,,,,,,18877,,0,,,0,,,,,,,,,,,,,0,,,,,,,1493,,0,,,0,,,,,,,,,,,,,0,,,,,,,1532,,0,,,0,,,
84,Concord Avenue,East of Fawcett Street,"(42.389117812999899, -71.145767380199899)","Fawcett St. Res.Dev.TIS, May 2002.; 70 Fawcett St. Res Redev TIS, June 15, 2007. (Dec. 2006). Concord/Wheeler  TIS 2012(phase II), June 19&20, 2012. Concord/Wheeler Phase II TIS (counts 9/24/13)",,,,,,,,,,0,20000,,,,,,21525,,0,,,0,22338,21868,,,,,,,,,,,0,1607,,,,,,1620,,0,,,0,1698,1757,,,,,,,,,,,0,1557,,,,,,1593,,0,,,0,1587,1561,
85,Fawcett Street,In front of 70 Fawcett Street,"(42.391615307400002, -71.146129290700003)","70 Fawcett Street Residential Redevelopment, TIS, June 15, 2007. (ATRs in Dec. 2006).",,,,,,,,,,0,,,,,,,1838,,0,,,0,,,,,,,,,,,,,0,,,,,,,172,,0,,,0,,,,,,,,,,,,,0,,,,,,,177,,0,,,0,,,
86,First Street,South of Cambridge Street,"(42.370415312600002, -71.0769723059)","North Point TIS, Oct. 29, 2002; One First Street  TIS, Oct. 2003; Courthouse Redevelopment TIS, Oct. 2013. (counts, May 2013)",,,,,,,,,,0,,,6800,8300,,,0,,0,,,0,,7883,,,,,,,,,,,0,,,410,479,,,,,0,,,0,,545,,,,,,,,,,,0,,,500,837,,,,,0,,,0,,746,
87,Second Street,North of Otis Street,"(42.3702325812, -71.078738830099894)","One First Street  TIS, Oct. 2003.",,,,,,,,,,0,,,,3400,,,0,,0,,,0,,,,,,,,,,,,,0,,,,389,,,,,0,,,0,,,,,,,,,,,,,0,,,,267,,,,,0,,,0,,,
88,Charles Street,West of First Street,"(42.367275621700003, -71.077875029699896)","First/Bent Street Development TIS, Oct. 2007.",,,,,,,,,,0,,,,,,,0,2080,0,,,0,,,,,,,,,,,,,0,,,,,,,,110,0,,,0,,,,,,,,,,,,,0,,,,,,,,240,0,,,0,,,
89,Bent Street,West of First Street,"(42.366582133999898, -71.078038919999898)","First/Bent Street Development TIS, Oct. 2007.",,,,,,,,,,0,,,,,,,0,940,0,,,0,,,,,,,,,,,,,0,,,,,,,,40,0,,,0,,,,,,,,,,,,,0,,,,,,,,80,0,,,0,,,
90,Rogers Street,West of First Street,"(42.365934359800001, -71.078223198900005)","First/Bent Street Development TIS, Oct. 2007.",,,,,,,,,,0,,,,,,,0,830,0,,,0,,,,,,,,,,,,,0,,,,,,,,60,0,,,0,,,,,,,,,,,,,0,,,,,,,,70,0,,,0,,,
91,Hurley Street,West of First Street,"(42.367926203700002, -71.077632593900006)","First/Bent Street Development TIS, Oct. 2007.",,,,,,,,,,0,,,,,,,0,2000,0,,,0,,,,,,,,,,,,,0,,,,,,,,150,0,,,0,,,,,,,,,,,,,0,,,,,,,,180,0,,,0,,,
92,First Street,South of Bent Street,"(42.3664426136, -71.077936088200005)","First/Bent Street Development TIS, Oct. 2007.",,,,,,,,,,0,,,,,,,0,6800,0,,,0,,,,,,,,,,,,,0,,,,,,,,470,0,,,0,,,,,,,,,,,,,0,,,,,,,,600,0,,,0,,,
93,Second Street,South of Charles Street,"(42.367411203800003, -71.079417304000003)","First/Bent Street Development TIS, Oct. 2007.",,,,,,,,,,0,,,,,,,0,2640,0,,,0,,,,,,,,,,,,,0,,,,,,,,210,0,,,0,,,,,,,,,,,,,0,,,,,,,,340,0,,,0,,,
94,Third Street,North of Charles Street,"(42.367893495399898, -71.080892960499895)","First/Bent Street Development TIS, Oct. 2007.",,,,,,,,,,0,,,,,,,0,8600,0,,,0,,,,,,,,,,,,,0,,,,,,,,600,0,,,0,,,,,,,,,,,,,0,,,,,,,,690,0,,,0,,,
95,Linskey Way,East of Second Street,"(42.364748455700003, -71.079842353299895)","195 First Street & 77 Linskey Way Residential Project TIS, Nov. 12, 2002.",,,,,,,,,,0,,,954,,,,0,,0,,,0,,,,,,,,,,,,,0,,,64,,,,,,0,,,0,,,,,,,,,,,,,0,,,129,,,,,,0,,,0,,,
96,First Street,North of Athanaeum Street,"(42.364058759700001, -71.078512258800004)","195 First Street & 77 Linskey Way Residential Project TIS, Nov. 12, 2002.",,,,,,,,,,0,,,3639,,,,0,,0,,,0,,,,,,,,,,,,,0,,,326,,,,,,0,,,0,,,,,,,,,,,,,0,,,533,,,,,,0,,,0,,,
97,Binney Street,East of First Street,"(42.365207194, -71.078156286500004)","195 First Street & 77 Linskey Way Residential Project TIS, Nov. 12, 2002.",,,,,,,,,,0,,,9445,,,,0,,0,,,0,,,,,,,,,,,,,0,,,966,,,,,,0,,,0,,,,,,,,,,,,,0,,,760,,,,,,0,,,0,,,
221,Acorn Park Drive,South of Route 2,"(42.398242132500002, -71.146561139499894)","Cambridge Discovery Park TIS, September, 2004.",,,,,,,,,,0,,,,,510,,0,,0,,,0,,,,,,,,,,,,,0,,,,,86,,,,0,,,0,,,,,,,,,,,,,0,,,,,66,,,,0,,,0,,,
163,Albany Street,West of Massachusetts Avenue,"(42.3607195899, -71.096245160400002)","Necco (Novartis Expansion) TIS, April 2005.",,,,,,,,,,0,,,,,,4150,0,,0,,,0,,,,,,,,,,,,,0,,,,,,380,,,0,,,0,,,,,,,,,,,,,0,,,,,,341,,,0,,,0,,,
278,Albany Street,South of  Pacific Street,"(42.358910876300001, -71.100276083500006)","CDD Cambridgeport Traffic Volume counts, Volmer Associates.  TPT Cambridgeport ADT's May 2011.",,,,,,,3899,,,0,,,4981,4369,,,4954,,0,,,5988,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
45,Gore Street,City Line,"(42.373205000299897, -71.086891999900004)",Cordon Counts,,,16666,,,,,,14884,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1126,0,,,,,,,,,0,,,0,,,,,,,,,,,,1076,0,,,,,,,,,0,,,0,,,
46,Hampshire Street,North of Cambridge Street,"(42.373874705399899, -71.100993178099898)",Cordon Counts,,,15420,,,,,,14259,0,,,,,,,0,,0,,,0,,,,,,,,,,,,754,0,,,,,,,,,0,,,0,,,,,,,,,,,,1077,0,,,,,,,,,0,,,0,,,
53,Broadway,West of MidBlock Connector,"(42.3641566051, -71.087833529999898)",BioGen R&D TIS March 1999,,,,,,,,,15370,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1294,0,,,,,,,,,0,,,0,,,,,,,,,,,,1202,0,,,,,,,,,0,,,0,,,
52,Broadway,East of Midblock Connector,"(42.3634673046, -71.086171262099896)",BioGen R&D TIS March 1999,,,,,,,,,21350,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1389,0,,,,,,,,,0,,,0,,,,,,,,,,,,1404,0,,,,,,,,,0,,,0,,,
66,Main Street,West of Ames Street and Midblock Connector,"(42.362638999700003, -71.088906999599899)","Traffic Impact Assessment/IPOP Analysis, Dec. 1999.",,,,,,,,,,8773,,,,,,,0,,0,,,0,,,,,,,,,,,,,685,,,,,,,,,0,,,0,,,,,,,,,,,,,701,,,,,,,,,0,,,0,,,
98,Memorial Drive,North of Hingham Street,"(42.364719973699899, -71.116027096300002)","Harvard's Grant/Cowperthwaite Project Transportation Study, Dec. 2004. ADT is May 2004.",,,,,,,,,,0,,,,,26245,,0,,0,,,0,,,,,,,,,,,,,0,,,,,1787,,,,0,,,0,,,,,,,,,,,,,0,,,,,1825,,,,0,,,0,,,
99,Hingham Street,West of Banks Street,"(42.365193999600002, -71.115480000199895)","Harvard's Grant/Cowperthwaite Project Transportation Study, Dec. 2004. ADT is May 2004.",,,,,,,,,,0,,,,,1284,,0,,0,,,0,,,,,,,,,,,,,0,,,,,102,,,,0,,,0,,,,,,,,,,,,,0,,,,,100,,,,0,,,0,,,
100,DeWolfe Street,South of Grant Street,"(42.369658383000001, -71.1169374613999)","Harvard's Grant/Cowperthwaite Project Transportation Study, Dec. 2004. ADT is May 2004.",,,,,,,,,,0,,,,,4806,,0,,0,,,0,,,,,,,,,,,,,0,,,,,313,,,,0,,,0,,,,,,,,,,,,,0,,,,,294,,,,0,,,0,,,
101,Putnam Avenue,South of Green Street,"(42.369072903099898, -71.113477526200001)","Harvard's Grant/Cowperthwaite Project Transportation Study, Dec. 2004. ADT is May 2004.",,,,,,,,,,0,,,,,6328,,0,,0,,,0,,,,,,,,,,,,,0,,,,,438,,,,0,,,0,,,,,,,,,,,,,0,,,,,473,,,,0,,,0,,,
